,infected,recovered,susceptible,dead,R0,severe_cases
0,4,0,4596,0.0,0.0,0
1,5,0,4595,0.0,1.0,0
2,5,0,4595,0.0,1.0,0
3,6,0,4594,0.0,1.0,0
4,7,0,4593,0.0,1.0,1
5,7,0,4593,0.0,1.0,1
6,7,0,4593,0.0,1.0,1
7,9,0,4591,0.0,1.0,1
8,9,1,4590,0.0,1.0,0
9,9,2,4589,0.0,1.0,0
10,10,2,4588,0.0,1.1428571428571428,0
11,11,2,4587,0.0,1.2857142857142858,0
12,11,2,4587,0.0,1.2857142857142858,0
13,9,4,4587,0.0,1.2857142857142858,0
14,10,4,4586,0.0,1.4285714285714286,0
15,11,4,4585,0.0,1.5714285714285714,0
16,11,4,4585,0.0,1.5714285714285714,0
17,13,4,4583,0.0,1.625,0
18,13,5,4582,0.0,1.5555555555555556,0
19,13,6,4581,0.0,1.6666666666666667,0
20,14,6,4580,0.0,1.6,0
21,12,8,4580,0.0,1.6,0
22,9,11,4580,0.0,1.6,0
23,9,11,4580,0.0,1.6,0
24,10,11,4579,0.0,1.5454545454545454,0
25,10,11,4579,0.0,1.5454545454545454,0
26,9,12,4579,0.0,1.5454545454545454,0
27,9,12,4579,0.0,1.5454545454545454,0
28,9,14,4577,0.0,1.4615384615384615,0
29,8,15,4577,0.0,1.4615384615384615,0
30,7,16,4577,0.0,1.4615384615384615,0
31,5,18,4577,0.0,1.4615384615384615,0
32,5,18,4577,0.0,1.4615384615384615,0
33,4,19,4577,0.0,1.4615384615384615,0
34,3,20,4577,0.0,1.4615384615384615,0
35,3,20,4577,0.0,1.4615384615384615,0
36,3,20,4577,0.0,1.4615384615384615,0
37,3,20,4577,0.0,1.4615384615384615,0
38,5,20,4575,0.0,1.4,0
39,5,20,4575,0.0,1.4,0
40,6,20,4574,0.0,1.4666666666666666,0
41,7,20,4573,0.0,1.5333333333333334,0
42,6,21,4573,0.0,1.5333333333333334,0
43,6,22,4572,0.0,1.6,0
44,6,23,4571,0.0,1.5625,0
45,7,23,4570,0.0,1.5294117647058822,0
46,6,24,4570,0.0,1.5294117647058822,0
47,6,24,4570,0.0,1.5294117647058822,0
48,6,24,4570,0.0,1.5294117647058822,0
49,6,24,4570,0.0,1.5294117647058822,0
50,6,24,4570,0.0,1.5294117647058822,0
51,6,24,4570,0.0,1.5294117647058822,0
52,6,24,4570,0.0,1.5294117647058822,0
53,6,24,4570,0.0,1.5294117647058822,0
54,6,24,4570,0.0,1.5294117647058822,0
55,6,25,4569,0.0,1.5,0
56,6,25,4569,0.0,1.5,0
57,5,26,4569,0.0,1.5,0
58,3,28,4569,0.0,1.5,0
59,4,28,4568,0.0,1.4736842105263157,1
60,3,29,4568,0.0,1.4736842105263157,1
61,3,29,4568,0.0,1.4736842105263157,1
62,2,30,4568,0.0,1.4736842105263157,1
63,2,30,4568,0.0,1.4736842105263157,1
64,2,30,4568,0.0,1.4736842105263157,1
65,2,30,4568,0.0,1.4736842105263157,1
66,2,30,4568,0.0,1.4736842105263157,1
67,2,30,4568,0.0,1.4736842105263157,1
68,1,31,4568,0.0,1.4736842105263157,1
69,1,31,4568,0.0,1.4736842105263157,1
70,0,32,4568,0.0,1.4736842105263157,0
71,0,32,4568,0.0,1.4736842105263157,0
72,0,32,4568,0.0,1.4736842105263157,0
73,0,32,4568,0.0,1.4736842105263157,0
74,0,32,4568,0.0,1.4736842105263157,0
75,0,32,4568,0.0,1.4736842105263157,0
76,0,32,4568,0.0,1.4736842105263157,0
77,0,32,4568,0.0,1.4736842105263157,0
78,0,32,4568,0.0,1.4736842105263157,0
79,0,32,4568,0.0,1.4736842105263157,0
80,0,32,4568,0.0,1.4736842105263157,0
81,0,32,4568,0.0,1.4736842105263157,0
82,0,32,4568,0.0,1.4736842105263157,0
83,0,32,4568,0.0,1.4736842105263157,0
84,0,32,4568,0.0,1.4736842105263157,0
85,0,32,4568,0.0,1.4736842105263157,0
86,0,32,4568,0.0,1.4736842105263157,0
87,0,32,4568,0.0,1.4736842105263157,0
88,0,32,4568,0.0,1.4736842105263157,0
89,0,32,4568,0.0,1.4736842105263157,0
90,0,32,4568,0.0,1.4736842105263157,0
91,0,32,4568,0.0,1.4736842105263157,0
92,0,32,4568,0.0,1.4736842105263157,0
93,0,32,4568,0.0,1.4736842105263157,0
94,0,32,4568,0.0,1.4736842105263157,0
95,0,32,4568,0.0,1.4736842105263157,0
96,0,32,4568,0.0,1.4736842105263157,0
97,0,32,4568,0.0,1.4736842105263157,0
98,0,32,4568,0.0,1.4736842105263157,0
99,0,32,4568,0.0,1.4736842105263157,0
100,0,32,4568,0.0,1.4736842105263157,0
